date,experiment_type,revenue
2020-03-03,control,580.5539
2020-04-12,control,691.3946
2020-03-21,control,472.4911
2020-04-17,control,707.62
2020-04-18,control,632.64
2020-03-17,control,255.34
2020-04-11,control,1160.9631
2020-03-23,control,242.71
2020-04-16,control,715.002
2020-04-15,control,428.9297
2020-03-10,control,1169.8268
2020-04-06,control,549.7326
2020-03-18,control,490.1551
2020-04-04,control,374.4759
2020-04-10,control,539.81
2020-03-27,control,509.715
2020-03-19,control,288.5007
2020-03-13,control,467.1724
2020-03-02,control,664.3165
2020-03-20,control,287.4353
2020-02-27,control,235.3896
2020-03-07,control,372.0084
2020-03-01,control,534.5195
2020-04-03,control,451.7
2020-03-14,control,638.3963
2020-04-07,control,708.2748
2020-04-09,control,759.81
2020-05-03,control,897.0027
2020-04-29,control,1057.7539
2020-04-20,control,586.7026
2020-05-16,control,755.3911
2020-04-26,control,511.1456
2020-05-09,control,591.6516
2020-05-11,control,1120.1525
2020-04-25,experiment,44.32
2020-03-10,experiment,12.72
2020-03-08,experiment,0
2020-05-04,experiment,34.57
2020-03-06,experiment,18.12
2020-04-17,experiment,19.2
2020-05-13,experiment,52.5048
2020-04-20,experiment,66.8796
2020-05-07,experiment,0
2020-04-29,experiment,0
2020-03-30,experiment,7.17
2020-03-26,experiment,0
2020-03-20,experiment,16.54
2020-03-04,experiment,11.2624
2020-04-12,experiment,0
2020-04-24,experiment,0
2020-05-11,experiment,28.3
2020-02-29,experiment,0
2020-04-28,experiment,65.8847
2020-03-03,experiment,17.5438
2020-04-26,experiment,0
2020-03-09,experiment,24.95
2020-03-24,experiment,3.81
2020-04-30,experiment,16.82
2020-05-18,experiment,20.04
2020-04-05,experiment,15.1
2020-03-22,experiment,0
2020-04-27,control,581.7738
2020-05-13,control,688.8061
2020-05-10,control,682.88
2020-05-12,control,656.9138
2020-05-17,control,1226.9544
2020-05-15,control,601.1189
2020-05-08,control,602.4475
2020-03-28,experiment,0
2020-05-12,experiment,43.54
2020-05-16,experiment,75.8
2020-04-21,experiment,7.1402
2020-04-15,experiment,0
2020-04-23,experiment,17.8
2020-04-22,experiment,0
2020-03-25,experiment,0
2020-04-11,experiment,0
2020-03-11,experiment,5.45
2020-04-18,experiment,0
2020-02-27,experiment,21.32
2020-03-05,experiment,36.8386
2020-03-28,control,244.5368
2020-04-30,control,939.6223
2020-04-08,control,439.6434
2020-03-11,control,334.9212
2020-04-21,control,398.2162
2020-04-23,control,611.9476
2020-04-19,control,812.9617
2020-04-22,control,789.7271
2020-05-01,control,981.2937
2020-03-05,control,755.0843
2020-05-07,control,811.7699
2020-03-12,control,717.9674
2020-04-24,control,384.8718
2020-03-22,control,98.8801
2020-03-09,control,564.2992
2020-03-26,control,310.0526
2020-04-14,control,554.3457
2020-03-25,control,158.2364
2020-03-31,control,573.9498
2020-02-28,control,407.3019
2020-04-05,control,1358.9647
2020-03-30,control,335.37
2020-03-24,control,141.3533
2020-03-16,control,648.2019
2020-03-04,control,379.3075
2020-03-29,control,664.2137
2020-03-08,control,880.1838
2020-04-01,control,369.7325
2020-03-06,control,648.5674
2020-04-02,control,309.4408
2020-03-15,control,326.5307
2020-02-29,control,927.9434
2020-04-25,control,1115.3069
2020-05-05,control,1131.5474
2020-05-04,control,713.4237
2020-04-13,control,498.3077
2020-04-19,experiment,6.11
2020-03-27,experiment,15.68
2020-04-10,experiment,0
2020-05-01,experiment,113.91
2020-03-29,experiment,60.46
2020-03-02,experiment,34.97
2020-04-13,experiment,0
2020-03-19,experiment,8
2020-04-02,experiment,0
2020-04-27,experiment,42.9229
2020-03-14,experiment,57.7826
2020-05-17,experiment,119.81
2020-03-15,experiment,89.2836
2020-03-13,experiment,19.5887
2020-05-05,experiment,257.0192
2020-05-06,experiment,13.65
2020-03-16,experiment,0
2020-05-08,experiment,20.63
2020-03-17,experiment,0
2020-04-06,experiment,12.34
2020-05-15,experiment,42.79
2020-04-14,experiment,0
2020-05-03,experiment,136.62
2020-03-31,experiment,0
2020-05-10,experiment,126.65
2020-04-09,experiment,0
2020-05-14,experiment,141.19
2020-05-02,experiment,69.642
2020-04-28,control,508.23
2020-05-06,control,812.8394
2020-05-14,control,739.0293
2020-05-18,control,556.4301
2020-05-02,control,694.2294
2020-05-09,experiment,145.3134
2020-03-07,experiment,18.45
2020-04-03,experiment,49.13
2020-03-18,experiment,10.84
2020-04-08,experiment,102.73
2020-03-12,experiment,0
2020-04-07,experiment,12.02
2020-02-28,experiment,0
2020-04-16,experiment,32.52
2020-03-01,experiment,32.73
2020-03-21,experiment,0
2020-04-01,experiment,5
2020-03-23,experiment,0
2020-04-04,experiment,0
